Year,County,CO_2M_1h,CO_2M_8h,NO2_98thP_1h,NO2_Mean_1h,Oz_2M_1h,Oz_5M_8h,PM2.5_98P_24h,PM2.5_WM_24h,PM10_2M_24h,PM10_Mn_24h
2012,Contra Costa,1.6,0.9,40,9,0.09,0.072,20,6.6,44,15
2012,Fresno,3.2,2.1,56,13,0.12,0.097,57,15.4,76,33
2012,Humboldt,1,0.7,19,3,0.05,0.046,17,6.8,44,16
2012,Imperial,6.1,4.5,66,14,0.1,0.084,40,14.2,321,64
2012,Kern,1.2,0.7,56,15,0.11,0.091,56,14.7,88,41
2012,Los Angeles,4.8,3.9,63,21,0.13,0.102,32,12.7,74,31
2012,Marin,2,1,44,11,0.07,0.049,19,8,32,12
2012,Monterey,1.5,1.3,35,5,0.07,0.057,14,6,80,24
2012,Orange,3.1,2.3,54,18,0.1,0.071,25,10.8,66,26
2012,Plumas,2.2,1.6,41,15,0.12,0.099,36,15.1,334,60
2012,Riverside,2.6,2.1,51,12,0.12,0.097,35,9.2,58,24
2012,San Benito,2,1.6,96,22,0.14,0.106,36,12.8,75,35
2012,San Bernardino,4,2.1,72,20,0.1,0.08,24,11.1,48,24
2012,San Diego,1.8,1.1,66,13,0.06,0.047,22,8.2,46,16
2012,San Francisco,2.5,1.5,52,14,0.11,0.085,34,12.4,125,25
2012,San Mateo,1.9,1,43,10,0.08,0.07,17,8.5,50,20
2012,Santa Barbara,2.4,1.9,52,13,0.09,0.07,32,9,46,18
2012,Siskiyou,2.6,2.1,41,9,0.09,0.07,21,9,25,11
2012,Solano,2,1.3,36,9,0.07,0.058,19,8.2,30,12
2013,Butte,2,1.4,40,8,0.09,0.073,30,10.1,51,24
2013,Contra Costa,1.7,1,41,10,0.08,0.065,27,12,42,17
2013,Fresno,3.3,2.2,61,14,0.12,0.095,66,17.1,107,45
2013,Humboldt,1.3,0.8,26,3,0.05,0.046,23,6.7,51,19
2013,Imperial,5.2,3.9,62,13,0.11,0.08,27,13.3,289,52
2013,Kern,1.7,1.1,56,14,0.11,0.087,97,22.8,111,51
2013,Los Angeles,5.6,3.4,71,23,0.13,0.094,30,12.6,63,33
2013,Marin,2.1,0.9,47,12,0.07,0.057,27,10.8,32,15
2013,Monterey,1.7,0.8,36,5,0.07,0.059,16,6.7,75,27
2013,Napa,2.8,1.5,40,9,0.08,0.055,28,11.7,36,18
2013,Orange,4.1,2.4,53,17,0.1,0.074,23,10.1,82,28
2013,Riverside,2.5,1.6,51,16,0.12,0.1,42,14.1,188,55
2013,Sacramento,2.8,2.4,45,10,0.11,0.079,49,12.6,48,23
2013,San Bernardino,3.3,1.6,61,21,0.15,0.104,35,12.3,155,41
2013,San Diego,24.1,6.7,75,19,0.09,0.078,25,10.6,49,25
2013,San Francisco,1.8,1.3,60,14,0.06,0.043,28,10.1,40,17
2013,San Joaquin,2.5,1.7,57,16,0.09,0.073,56,17.9,122,32
2013,Santa Barbara,2.4,1,37,10,0.08,0.065,16,8.9,55,21
2013,Santa Clara,2.7,2.1,52,15,0.09,0.067,35,12.4,53,21
2013,Solano,2.6,2,43,10,0.08,0.064,37,11.3,30,13
2013,Sonoma,1.7,1.2,37,9,0.07,0.055,23,8.5,30,13
2013,Stanislaus,2.6,2.1,46,11,0.09,0.08,61,15,77,35
2014,Contra Costa,1.7,1,39,9,0.09,0.072,23,10.5,34,16
2014,Fresno,2.8,2,57,12,0.12,0.097,71,16.4,118,41
2014,Humboldt,1.4,0.9,24,2,0.05,0.043,8,3.1,64,17
2014,Imperial,5,3.8,47,12,0.1,0.078,47,17.6,375,62
2014,Kern,1.9,1.1,55,13,0.11,0.089,80,18.6,104,24
2014,Marin,1.6,1,50,11,0.08,0.064,20,10.8,37,13
2014,Monterey,1.3,1,32,5,0.08,0.063,12,6.5,66,25
2014,Napa,2,1.4,41,8,0.07,0.062,23,12,36,15
2014,Riverside,2.5,1.6,53,16,0.12,0.098,29,10.7,243,57
2014,Sacramento,2.3,1.9,55,11,0.1,0.081,28,8.8,83,20
2014,San Diego,3.5,1.9,61,13,0.09,0.08,25,10.2,53,30
2014,San Francisco,1.6,1.1,58,12,0.07,0.052,20,7.7,28,16
2014,San Joaquin,2.7,1.7,54,13,0.09,0.08,45,12.1,101,29
2014,Santa Barbara,2.5,1,42,8,0.11,0.076,17,8.9,91,24
2014,Santa Clara,2.4,1.9,55,13,0.09,0.073,28,9.3,52,19
2014,Solano,2.4,2,43,8,0.08,0.066,28,10,25,11
2014,Sonoma,1.3,0.9,31,4,0.07,0.062,17,7.7,40,13
2015,Butte,1.5,1.2,33,7,0.08,0.075,30,9.1,67,21
2015,Contra Costa,2,1,37,9,0.09,0.074,30,8.9,35,18
2015,Fresno,2.3,1.7,43,11,0.12,0.093,57,16,103,39
2015,Imperial,4.9,3.9,60,11,0.1,0.077,37,13.1,225,47
2015,Kern,1.6,1,50,12,0.12,0.097,57,17.9,97,44
2015,Los Angeles,4.3,3,66,22,0.13,0.1,42,12.6,95,37
2015,Marin,1.4,0.9,40,11,0.08,0.063,31,8.6,29,15
2015,Monterey,1.5,0.9,28,5,0.08,0.062,13,6.3,68,24
2015,Napa,2.3,1.5,33,8,0.08,0.066,30,10.6,45,18
2015,Orange,2.9,2.3,61,25,0.1,0.075,15,7.1,64,26
2015,Riverside,2.2,1.5,52,14,0.12,0.097,43,13.5,299,65
2015,Sacramento,2.1,1.9,46,11,0.1,0.081,38,10.4,55,22
2015,San Bernardino,15.5,4.4,73,30,0.14,0.107,40,14.5,121,33
2015,San Diego,3.1,1.9,53,14,0.1,0.079,20,9.3,99,35
2015,San Francisco,1.6,1.2,53,12,0.06,0.05,27,7.6,38,18
2015,San Joaquin,2,1.4,48,12,0.1,0.077,43,12.6,74,28
2015,Santa Barbara,2.4,0.8,38,8,0.08,0.067,19,8.3,59,22
2015,Santa Clara,2.6,1.8,47,18,0.09,0.072,32,10.6,47,21
2015,Solano,2.2,1.8,38,8,0.08,0.068,31,9.5,30,12
2015,Sonoma,1.3,0.9,29,5,0.07,0.059,23,6.8,55,16
2015,Stanislaus,2.7,1.5,36,9,0.1,0.085,47,14.2,75,32
