State Code,County Code,Site Number,Latitude,Longitude,Datum,Elevation,Land Use,Location Setting,Site Established Date,Site Closed Date,Met Site State Code,Met Site County Code,Met Site Site Number,Met Site Type,Met Site Distance,Met Site Direction,GMT Offset,Owning Agency,Local Site Name,Address,Zip Code,State Name,County Name,City Name,CBSA Name,Tribe Name,Extraction Date
6,1,5,37.7986,-122.2684,WGS84,10,COMMERCIAL,URBAN AND CENTER CITY,1/1/1980,,,,,,,,-8,Bay Area Air Quality Management District,Oakland - Alice,"822 ALICE ST., OAKLAND",94607,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,6,37.710229,-122.116899,WGS84,43,RESIDENTIAL,SUBURBAN,8/1/1990,,,,,,,,-8,Bay Area Air Quality Management District,San Leandro,"HOSPITAL-15400 FOOTHILL BLVD,SAN LEANDRO",94578,California,Alameda,Castro Valley,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,7,37.687526,-121.784217,WGS84,137,COMMERCIAL,URBAN AND CENTER CITY,12/1/1999,,,,,,,,-8,Bay Area Air Quality Management District,Livermore,793 Rincon Ave.,94551,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,8,37.817118,-122.280454,WGS84,14,RESIDENTIAL,URBAN AND CENTER CITY,9/14/2001,,,,,,,,-8,Bay Area Air Quality Management District,Oakland - Filbert St.,"2419 FILBERT ST, OAKLAND, CA",94607,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,9,37.743065,-122.169935,WGS84,11,RESIDENTIAL,URBAN AND CENTER CITY,11/1/2007,,,,,,,,-8,Bay Area Air Quality Management District,Oakland,9925 International Blvd,94603,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,11,37.814781,-122.282347,WGS84,0,RESIDENTIAL,URBAN AND CENTER CITY,2/12/2009,,,,,OTHER,1866,WNW,-8,Bay Area Air Quality Management District,Oakland West,1100 21st Street,94607,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,12,37.793624,-122.263376,WGS84,3.9,COMMERCIAL,URBAN AND CENTER CITY,2/1/2014,,,,,,,,-8,Bay Area Air Quality Management District,Laney College,Laney College Eighth St. parking lot Aisle J,94607,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,13,37.864767,-122.302741,NAD83,2.7,COMMERCIAL,URBAN AND CENTER CITY,7/1/2016,,,,,,,,-8,Bay Area Air Quality Management District,Berkeley Aquatic Park,1 Bolivar Dr,94710,California,Alameda,Not in a City,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,15,37.701222,-121.903019,NAD83,101,RESIDENTIAL,SUBURBAN,4/1/2018,,,,,,,,-8,Bay Area Air Quality Management District,Pleasanton - Owens Ct,Owens Ct.,94588,California,Alameda,Pleasanton,"San Francisco-Oakland-Hayward, CA",,5/18/2021
6,1,1001,37.535833,-121.961823,WGS84,17,RESIDENTIAL,SUBURBAN,8/1/1970,,,,,,,,-8,Bay Area Air Quality Management District,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",94538,California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",,5/18/2021
