OSHPD_ID,FAC_NO,FAC_NAME,FAC_STR_ADDR,FAC_CITY,FAC_ZIP,FAC_OPERATED_THIS_YR,FAC_OP_PER_BEGIN_DT,FAC_OP_PER_END_DT,FAC_PAR_CORP_NAME,LICENSE_NO,LICENSE_EFF_DATE,LICENSE_EXP_DATE,LICENSE_STATUS,FACILITY_LEVEL,TRAUMA_CTR,TEACH_HOSP,TEACH_RURAL,LONGITUDE,LATITUDE,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LA_COUNTY_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LIC_CAT,LICEE_TOC,PRIN_SERVICE_TYPE,MED_SURG_LIC_BEDS,PERINATAL_LIC_BEDS,ped_LIC_BEDS,IC_LIC_BEDS,CORONARY_CARE_LIC_BEDS,resp_CARE_LIC_BEDS,BURN_LIC_BEDS,IC_NEWBORN_LIC_BEDS,REHAB_CTR_LIC_BEDS,GAC_SUBTOT_LIC_BEDS,chemdep_RECOVERY_LIC_BEDS,psych_LIC_BEDS,SN_LIC_BEDS,interc_LIC_BEDS,ic_DEV_DIS_LIC_BEDS,TOT_LIC_BEDS,GAC_CDRS_LIC_BEDS,ACUTE_PSYCH_LIC_BEDS,NEWBORN_NURSERY_BASSINETS,GEN_ACUTE_CARE_SN_SWING_BEDS,psych_PATS_LOCKED_ON_1231,psych_PATS_OPEN_ON_1231,psych_PATS_TOT_BY_UNIT_ON_1231,psych_PATS_0_TO_17_ON_1231,psych_PATS_18_TO_64_ON_1231,psych_PATS_65_AND_UP_ON_1231,psych_PATS_TOT_BY_AGE_ON_1231,psych_PATS_MED_TRAD_ON_1231,psych_PATS_MED_mc_ON_1231,psych_PATS_MED_CAL_TRAD_ON_1231,psych_PATS_MED_CAL_mc_ON_1231,psych_PATS_COUNTY_INDIGENT_PROG,psych_PATS_3RD_PARTIES_TRAD,psych_PATS_3RD_PARTIES_mc,psych_PATS_SHORT_DOYLE,psych_PATS_OTHER_INDIGENT,psych_PATS_OTHER_PAYERS,psych_PATS_TOT_BY_PAYOR,SHORT_DOYLE_svcs_OFFERED,INPATIENT_HOSPICE_PROG_OFFERED,BED_CLASS_GEN_ACUTE_CARE_SERVICE,BED_CLASS_SN_HOSPICE_SERVICE,BED_CLASS_IC_HOSPICE_SERVICE,ip_pal_CARE_PROG_OFFERED,op_pal_CARE_SERV_OFFERED,MED_SURG_LIC_BED_DAYS,PERINATAL_LIC_BED_DAYS,ped_LIC_BED_DAYS,IC_LIC_BED_DAYS,CORONARY_CARE_LIC_BED_DAYS,resp_CARE_LIC_BED_DAYS,BURN_LIC_BED_DAYS,IC_NEWBORN_LIC_BED_DAYS,REHAB_CTR_LIC_BED_DAYS,GAC_SUBTOT_LIC_BED_DAYS,chemdep_RECOVERY_LIC_BED_DAYS,psych_LIC_BED_DAYS,SN_LIC_BED_DAYS,interc_LIC_BED_DAYS,ic_DEV_DIS_LIC_BED_DAYS,TOT_LIC_BED_DAYS,MED_SURG_DISCHARGES,PERINATAL_DISCHARGES,ped_DISCHARGES,IC_DISCHARGES,CORONARY_CARE_DISCHARGES,resp_CARE_DISCHARGES,BURN_DISCHARGES,IC_NEWBORN_DISCHARGES,REHAB_CTR_DISCHARGES,GAC_SUBTOT_DISCHARGES,chemdep_RECOVERY_DISCHARGES,psych_DISCHARGES,SN_DISCHARGES,interc_DISCHARGES,ic_DEV_DIS_DISCHARGES,TOT_DISCHARGES,GAC_CDRS_DISCHARGES,ACUTE_PSYCH_DISCHARGES,NEWBORN_NURSERY_INFANTS,IC_INTRA_TRANSFERS,CORONARY_CARE_INTRA_TRANSFERS,resp_CARE_INTRA_TRANSFERS,BURN_INTRA_TRANSFERS,IC_NEWBORN_INTRA_TRANSFERS,SN_INTRA_TRANSFERS,MED_SURG_CEN_DAYS,PERINATAL_CEN_DAYS,ped_CEN_DAYS,IC_CEN_DAYS,CORONARY_CARE_CEN_DAYS,resp_CARE_CEN_DAYS,BURN_CEN_DAYS,IC_NEWBORN_CEN_DAYS,REHAB_CTR_CEN_DAYS,GAC_SUBTOT_CEN_DAYS,chemdep_RECOV_CEN_DAYS,psych_CEN_DAYS,SN_CEN_DAYS,interc_CEN_DAYS,ic_DEV_DIS_CEN_DAYS,TOT_CEN_DAYS,GAC_CDRS_CEN_DAYS,ACUTE_PSYCH_CEN_DAYS,NEWBORN_NURSERY_CEN_DAYS,MED_SURG_ALOS_CY,PERINATAL_ALOS_CY,ped_ALOS_CY,IC_ALOS_CY,CORONARY_CARE_ALOS_CY,resp_CARE_ALOS_CY,BURN_ALOS_CY,IC_NEWBORN_ALOS_CY,REHAB_CTR_ALOS_CY,GAC_SUBTOT_ALOS_CY,chemdep_RECOV_ALOS_CY,psych_ALOS_CY,SN_ALOS_CY,interc_ALOS_CY,ic_DEV_DIS_ALOS_CY,TOT_ALOS_CY,GAC_CDRS_ALOS_CY,ACUTE_PSYCH_CDRS_ALOS_CY,MED_SURG_ALOS_PY,PERINATAL_ALOS_PY,ped_ALOS_PY,IC_ALOS_PY,CORONARY_CARE_ALOS_PY,resp_CARE_ALOS_PY,BURN_ALOS_PY,IC_NEWBORN_ALOS_PY,REHAB_CTR_ALOS_PY,GAC_SUBTOT_ALOS_PY,chemdep_RECOV_ALOS_PY,psych_ALOS_PY,SN_ALOS_PY,interc_ALOS_PY,ic_DEV_DIS_ALOS_PY,TOT_ALOS_PY,GAC_CDRS_ALOS_PY,ACUTE_PSYCH_CDRS_ALOS_PY,EMSA_TRAUMA_DESIGNATION,LIC_ED_LEV_BEGIN,EMS_VISITS_NON_URGENT_TOT,EMS_VISITS_URGENT_TOT,EMS_VISITS_MODERATE_TOT,EMS_VISITS_SEVERE_TOT,EMS_VISITS_CRITICAL_TOT,EMS_visits_tot,ed_STATIONS_ON_1231,NON_EMER_VISITS_IN_ed,lwobs,ed_AMBULANCE_div_HOURS,ed_HR_div_JAN,ed_HR_div_FEB,ed_HR_div_MAR,ed_HR_div_APR,ed_HR_div_MAY,ed_HR_div_JUN,ed_HR_div_JUL,ed_HR_div_AUG,ed_HR_div_SEP,ed_HR_div_OCT,ed_HR_div_NOV,ed_HR_div_DEC,ed_HR_div_TOT,EMSA_TRAUMA_DESIGNATION_ped,LIC_ED_LEV_END,EMS_VISITS_NON_URGENT_ADMITTED,EMS_VISITS_URGENT_ADMITTED,EMS_VISITS_MODERATE_ADMITTED,EMS_VISITS_SEVERE_ADMITTED,EMS_VISITS_CRITICAL_ADMITTED,ADMITTED_FROM_ed_TOT,ER_TRAFFIC_TOT,INPATIENT_SURG_OPER,OUTPATIENT_SURG_OPER,INPAT_OPER_RM,OUTPAT_OPER_RM,INPAT_OUTPAT_OPER_RM,OPER_RM_TOT,OFFER_AMBULATORY_SURG_PROG,LIVE_BIRTHS_TOT,LIVE_BIRTHS_LT_2500GM,LIVE_BIRTHS_LT_1500GM,OFFER_ALTERNATE_BIRTH_PROG,LIVE_BIRTHS_IN_alt_SETTING,LIVE_BIRTHS_C_SECTION,LIC_CARDIOLOGY_cardio_SURG_svcs,cardio_OPER_RM,cardio_SURG_OPER_ped_BYPASS_USED,CARDIO_SURG_OPER_ADLT_BYPASSUSED,cardio_SURG_OPER_BYPASS_USED_TOT,cabg_SURG,card_cath_LAB_RM,CARD_CATH_PED_IP_DIAG_VST,CARD_CATH_PED_OP_DIAG_VST,card_cath_ADLT_IP_DIAG_VISITS,card_cath_ADLT_oP_DIAG_VISITS,card_cath_DIAG_VISITS_TOT,DIAG_card_CATH_PROC,MYOCARDIAL_BIOPSY,PERM_PACEMAKER_IMPLANT,OTH_PERM_PACEMAKER_PROC,IMPLANABLE_CARDIO_DEFIB_implant,OTH_PROCEDURES,PCI_WITH_STENT,PCI_WO_STENT,ATHERECTOMY,THROMBOLYTIC_AGENTS,PTBV,DIAG_ELECTROPHYSIOLOGY_EP,cath_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_ins,cath_BASED_vent_ASSIST_dev_ins,ALL_OTHER_cath_PROC,cath_PROC_TOT,INPATIENT_SURG_OPER_RM_MINS,OUTPATIENT_SURG_OPER_RM_MINS,cardio_SURG_OPER_ped_NOBYPASS,cardio_SURG_OPER_ADULT_NOBYPASS,cardio_SURG_OPER_NOBYPASS_TOT,CARD_CATH_PED_IP_THER_VST,CARD_CATH_PED_OP_THER_VST,card_cath_ADULT_IP_THER_VIS,card_cath_ADULT_OUTPAT_THER_VIS,card_cath_THER_VIS_TOT,INPATIENT_AVG_PER_SURGERY,OUTPATIENT_AVG_PER_SURGERY,FAC_ACQUIRE_EQUIP_OVER_500K,resp_stat,MSSA_DESIGNATION,MSSA_NAME,Include_State_hospital,ALTERNATE_SETTING_LDRP1,ALTERNATE_SETTING_LDR1,ED_AMBULANCE_DIV_HOURS1,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Comp,EMS_Standby,EMS_GAC_None,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,EMSA_EITHER,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_TOT,CRIT_TOT,UNK_ACUITY_NOT_ADM,UNK_ACUITY_ADM,UNKNOWN_SEV
106010735,106010735,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,Yes,1/1/2020,12/31/2020,Alameda Health System,140000002,5/1/2020,4/30/2021,Open,Parent Facility,-,No,No,-122.253991,37.76266,District 18,District 9,District 13,6001428500,2e,-,05 - East Bay,Alameda,General Acute Care Hospital,City or County,General Medical / Surgical,58,0,0,0,8,0,0,0,0,66,0,0,181,0,0,247,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,21228,0,0,0,2928,0,0,0,0,24156,0,0,66246,0,0,90402,2267,-,-,137,-,-,-,-,-,2404,-,-,200,-,-,2604,-,-,-,314,-,-,-,-,-,9028,-,-,1149,-,-,-,-,-,10177,-,-,59521,-,-,69698,-,-,-,4,-,-,2.6,-,-,-,-,-,4.2,-,-,297.6,-,-,26.8,-,-,4.1,0,0,2.9,0,0,0,0,0,4.6,0,0,260.9,0,0,25.3,0,0,-,Basic,573,1691,2863,1822,3711,10660,12,0,270,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Basic,0,9,14,70,1704,1797,12457,387,856,1,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42338,67240,-,-,-,-,-,-,-,-,109.4,78.6,-,Respondent,Urban,Alameda/Jack London Square/Oakland Inner Harbor,No,-,-,-,200 - 299,City or County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12457,573,1700,2877,1892,5415,0,0,0
106010739,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Yes,1/1/2020,12/31/2020,Sutter Health,140000004,11/1/2020,10/31/2021,Open,Parent Facility,-,No,No,-122.25743,37.85645,District 15,District 9,District 13,6001423902,2b,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,140,114,0,16,14,0,0,55,0,339,0,0,0,0,0,339,0,0,80,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Yes,Yes,51240,41724,0,5856,5124,0,0,20130,0,124074,0,0,0,0,0,124074,5338,5062,0,158,0,0,0,785,-,11343,0,0,0,0,0,11343,0,0,4548,579,0,0,0,133,0,23212,15551,0,4040,0,0,0,11102,-,53905,0,0,0,0,0,53905,0,0,8807,4.4,3.1,-,5.5,-,-,-,12.1,-,4.8,-,-,-,-,-,4.8,-,-,4,3.3,0,4.5,0,0,0,11.9,0,4.5,0,0,0,0,0,4.5,0,0,-,Basic,380,2581,6416,9040,2548,20965,22,2966,687,Yes,-,-,-,-,-,-,-,-,-,-,46,-,46,-,Basic,0,0,0,0,0,4114,25079,2157,3949,0,0,12,12,-,4534,476,90,-,0,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,237170,288291,0,0,-,0,0,0,0,-,110,73,Yes,Respondent,Urban,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,No,-,-,1,300 - 499,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25079,380,2581,6416,9040,2548,0,4114,4114
106010776,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND STREET,OAKLAND,94609,Yes,1/1/2020,12/31/2020,-,140000015,7/22/2020,12/31/2020,Open,Parent Facility,Level I - Pediatric,No,No,-122.26747,37.83722,District 15,District 9,District 13,6001401000,2c,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),Pediatric,0,0,136,23,0,0,0,44,12,215,0,0,0,0,0,215,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,0,0,49979,8418,0,0,0,17525,4392,80314,0,0,0,0,0,80314,-,-,5802,493,-,-,-,395,209,6899,-,-,-,-,-,6899,-,-,-,1107,-,-,-,173,-,-,-,22494,4251,-,-,-,10357,2834,39936,-,-,-,-,-,39936,-,-,-,-,-,3.9,2.7,-,-,-,18.2,13.6,5.8,-,-,-,-,-,5.8,-,-,0,0,3.2,2.8,0,0,0,18.2,9.6,4.7,0,0,0,0,0,4.7,0,0,-,Basic,906,1651,6310,11211,6734,26812,40,-,-,No,-,-,-,-,-,-,-,-,-,-,-,-,-,Level I,Basic,8,2,14,39,4177,4240,31052,2700,3908,0,2,10,12,-,-,-,-,-,-,-,Cardiovascular Surgery Services,1,41,6,47,-,1,9,3,0,2,14,67,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,30,103,379721,305707,24,0,24,41,7,4,1,53,140.6,78.2,-,Respondent,Urban,Oakland West Central,No,-,-,-,200 - 299,Non-Profit,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,31052,0,0,0,0,914,1653,6324,11250,10911,0,0,0
106010811,106010811,FAIRMONT HOSPITAL,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,Yes,1/1/2020,12/31/2020,Alameda Health System,140000046,11/1/2020,3/1/2021,Open,Consolidated Facility,-,No,No,-122.11819,37.70648,District 20,District 10,District 15,6001430500,2f,-,05 - East Bay,Alameda,General Acute Care Hospital,City or County,Long-Term Care (SN / IC),0,0,0,0,0,0,0,0,0,-,0,0,109,0,0,109,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,0,0,0,0,0,0,0,0,0,-,0,0,39894,0,0,39894,-,-,-,-,-,-,-,-,-,-,-,-,72,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39054,-,-,39054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,542.4,-,-,542.4,-,-,0,0,0,0,0,0,0,0,13.7,13.7,0,0,303.7,0,0,65.9,0,0,-,-,0,0,0,0,0,0,-,-,-,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Respondent,Urban,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,No,-,-,-,100 - 149,City or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010844,106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Yes,1/1/2020,12/31/2020,Sutter Health,140000004,11/1/2020,10/31/2021,Open,Consolidated Facility,-,No,No,-122.26984,37.86373,District 15,District 9,District 13,6001422900,2a,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),Psychiatric,0,0,0,0,0,0,0,0,0,-,0,68,0,0,0,68,0,0,0,-,45,0,45,8,31,6,45,11,1,19,3,0,6,4,0,0,1,45,-,-,-,-,-,-,No,0,0,0,0,0,0,0,0,0,-,0,24888,0,0,0,24888,0,0,0,0,0,0,0,0,0,-,0,2327,0,0,0,2327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,19394,0,0,0,19394,0,0,0,-,-,-,-,-,-,-,-,-,-,-,8.3,-,-,-,8.3,-,-,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,7.9,0,0,-,-,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,-,-,-,Respondent,Urban,Berkeley South and West/Emeryville/Oakland Northwest,No,-,-,-,50 - 99,Non-Profit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010846,106010846,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,Yes,1/1/2020,12/31/2020,Alameda Health System,140000046,11/1/2020,3/1/2021,Open,Parent Facility,Level I,No,No,-122.23138,37.79925,District 18,District 9,District 13,6001405700,2c,-,05 - East Bay,Alameda,General Acute Care Hospital,City or County,General Medical / Surgical,112,25,0,24,0,0,0,8,0,169,0,80,0,0,0,249,0,0,17,0,45,-,45,-,43,2,45,8,0,7,12,3,4,2,0,0,9,45,Yes,-,-,-,-,Yes,Yes,40992,9150,0,8784,0,0,0,2928,0,61854,0,29280,0,0,0,91134,7099,1434,-,302,-,0,-,281,-,9116,-,3297,-,-,-,12413,-,-,1251,953,-,-,-,132,-,39821,3310,-,6463,-,-,-,1202,-,50796,-,22474,-,-,-,73270,-,-,2115,5.6,2.3,-,5.2,-,-,-,2.9,-,5.6,-,6.8,-,-,-,5.9,-,-,5,2.3,0,5.5,0,0,0,2.8,0,5,0,8.7,0,0,0,5.8,0,0,Level I,Basic,3005,5851,10889,8511,12454,40710,54,-,2591,Yes,-,-,-,-,-,-,-,-,4,-,-,-,4,-,Basic,17,38,63,257,7239,7614,48324,2757,1488,-,-,7,7,-,1251,44,12,-,-,284,Cardiac Catheterization Only,-,-,-,-,-,3,-,-,128,261,389,389,-,-,-,-,-,38,2,-,-,-,-,-,-,-,-,-,-,128,557,445708,187583,-,-,-,-,-,10,41,51,161.7,126.1,-,Respondent,Urban,Oakland West Central,No,-,-,1,200 - 299,City or County,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,48324,0,0,0,0,3022,5889,10952,8768,19693,0,0,0
106010887,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Yes,1/1/2020,12/31/2020,Kindred Healthcare Inc.,140000066,3/1/2020,2/28/2021,Open,Parent Facility,-,No,No,-122.13119,37.71621,District 18,District 9,District 13,6001432800,2f,-,05 - East Bay,Alameda,General Acute Care Hospital,Investor - Corporation,General Medical / Surgical,89,0,0,10,0,0,0,0,0,99,0,0,0,0,0,99,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,32574,0,0,3660,0,0,0,0,0,36234,0,0,0,0,0,36234,368,0,0,85,0,0,0,0,0,453,0,0,0,0,0,453,-,-,-,257,0,0,0,0,0,21711,0,0,2903,0,0,0,0,0,24614,0,0,0,0,0,24614,-,-,-,59,-,-,8.5,-,-,-,-,-,54.3,-,-,-,-,-,54.3,-,-,58.5,0,0,6.5,0,0,0,0,0,53.7,0,0,0,0,0,53.7,0,0,-,-,0,0,0,0,0,0,-,-,-,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,361,-,2,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28614,-,-,-,-,-,-,-,-,-,79.3,-,-,Respondent,Urban,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,No,-,-,-,50 - 99,Investor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,106010937,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,94609,Yes,1/1/2020,12/31/2020,Sutter Health,140000284,11/1/2020,10/31/2021,Open,Parent Facility,-,No,No,-122.26257,37.82106,District 18,District 9,District 13,6001401300,2m,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,309,0,0,30,6,0,0,0,58,403,0,0,0,0,0,403,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Yes,Yes,113094,0,0,10980,2196,0,0,0,21228,147498,0,0,0,0,0,147498,9640,0,0,305,129,0,0,0,875,10949,0,0,0,0,0,10949,0,0,0,1098,240,0,0,0,0,39891,0,0,5869,689,0,0,0,13843,60292,0,0,0,0,0,60292,0,0,0,4.1,-,-,4.2,1.9,-,-,-,15.8,5.5,-,-,-,-,-,5.5,-,-,4.1,0,0,3.9,1.9,0,0,0,15,5.4,0,0,0,0,0,5.4,0,0,-,Basic,321,1162,6187,9360,7138,24168,30,336,465,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Basic,0,0,0,0,0,3878,28046,2873,2720,0,0,12,12,Yes,0,0,0,-,0,0,Cardiovascular Surgery Services,2,0,208,208,153,5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,432385,324298,0,147,147,0,0,-,-,-,150.5,119.2,Yes,Respondent,Urban,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,No,-,-,-,300 - 499,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28046,321,1162,6187,9360,7138,0,3878,3878
106010967,106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Yes,1/1/2020,12/31/2020,HAYWARD SISTERS HOSPITAL DBA ST. ROSE HOSPITAL,140000107,11/1/2020,10/31/2021,Open,Parent Facility,-,No,No,-122.08962,37.63291,District 20,District 10,District 15,6001437300,2g,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,121,17,0,9,6,0,0,0,0,153,0,0,0,0,0,153,0,0,24,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,No,44286,6222,0,3294,2196,0,0,0,0,55998,0,0,0,0,0,55998,2892,372,0,297,0,0,0,0,0,3561,0,0,0,0,0,3561,0,0,363,613,0,0,0,0,0,12377,895,0,2680,0,0,0,0,0,15952,0,0,0,0,0,15952,0,0,712,4.3,2.4,-,3,-,-,-,-,-,4.5,-,-,-,-,-,4.5,-,-,5.1,3.2,0,3.1,0,0,0,0,0,5.3,0,0,0,0,0,5.3,0,0,-,Basic,220,3816,10296,4410,1125,19867,17,0,1071,Yes,13,6,9,44,29,113,13,7,8,5,142,1001,1390,-,Basic,0,6,33,64,2723,2826,22693,634,453,0,0,4,4,Yes,360,21,-,-,0,93,Cardiac Catheterization Only,0,0,0,-,0,1,0,0,167,67,234,452,0,28,4,6,2,155,26,0,0,0,0,0,6,26,0,22,0,55,782,77665,36450,0,0,-,0,0,199,19,218,122.5,80.5,-,Respondent,Urban,San Leandro West/San Lorenzo West/Hayward West,No,-,-,1,150 - 199,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22693,220,3822,10329,4474,3848,0,0,0
106010983,106010983,VALLEY MEMORIAL HOSPITAL,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,Yes,1/1/2020,12/31/2020,Stanford Health Care,140000114,12/9/2020,1/5/2021,Open,Consolidated Facility,-,No,No,-121.78252,37.6787,District 16,District 7,District 15,6001451602,1.1,-,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,25,0,0,3,7,0,0,0,0,35,0,14,26,0,0,75,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,9150,0,0,1098,2562,0,0,0,0,12810,0,5124,9516,0,0,27450,-,-,-,-,-,-,-,-,-,-,-,-,147,-,-,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6181,-,-,6181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,42,-,-,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,18.4,0,0,-,-,0,0,0,0,0,0,-,-,-,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,1447,0,4,0,4,Yes,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71651,-,-,-,-,-,-,-,-,-,49.5,-,Respondent,Urban,Livermore Central and West/Spring Town,No,-,-,-,50 - 99,Non-Profit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
