County,2012,2013,2014,2015,2016,2017,2018,2019
Alameda,540384,506877,573220,587559,590515,594432,523512,513803
Amador,19001,19852,21018,23219,24236,24564,18858,18263
Butte,99488,112744,115266,129556,134528,135753,80555,83426
Calaveras,9235,9550,10702,15212,13142,13795,9777,10085
Colusa,6003,4099,7028,7322,,,8789,6188
Contra Costa,424431,394217,400103,407244,416707,421096,367408,367047
Del Norte,21969,20914,20393,21508,22378,21329,18178,18216
El Dorado,45094,43793,43806,44145,43891,43127,39112,42702
Fresno,340267,289443,347756,390044,390734,453446,347516,407802
Glenn,5634,5354,5168,5430,5585,7143,6260,5640
Humboldt,57618,62286,60472,66579,70241,66870,56454,57190
Imperial,92457,93802,96161,98488,87172,99189,85652,85517
Inyo,9539,9407,9345,9692,10753,10875,10266,10105
Kern,323848,336202,351223,363557,366561,352692,343008,335050
Kings,68739,62988,68154,75084,65263,54615,68425,59232
Lake,35422,35903,39427,41181,41860,42559,40449,41167
Lassen,12966,10504,10920,11899,12244,0,9441,11405
Los Angeles,3148689,3266123,3413945,3608278,3697916,3823574,3204278,3286381
Madera,128436,131889,136000,157112,157934,157756,135269,130353
Marin,75258,74578,76850,80108,79562,81089,68224,71711
Mariposa,5862,5211,5697,5853,5905,7075,6888,6476
Mendocino,42370,43472,46386,50320,52442,53572,50881,52194
Merced,85794,88966,96679,103126,103736,107133,92810,90063
Modoc,4356,4305,4176,4961,4287,5133,5988,4893
Mono,7630,8187,7658,8362,10759,9160,9103,9301
Monterey,146889,152728,159774,170444,182862,185371,157593,163584
Napa,36445,38578,38066,38539,38288,37165,31937,32487
Nevada,42371,42141,45507,46020,46255,43810,40867,38554
Orange,849201,866795,914663,942061,957784,989130,834923,850150
Placer,176940,182368,194841,161173,219422,231916,207960,213927
Plumas,10423,13670,16730,11820,12118,6871,11208,6449
Riverside,721628,718686,791924,852607,865703,882746,786333,825754
Sacramento,515152,520724,574479,635835,659626,681835,600207,591384
San Benito,15998,16573,17363,19548,20463,21038,19217,20214
San Bernardino,762085,834287,845848,876702,908244,899161,801475,823066
San Diego,916246,933637,971604,1036382,1044190,1108535,913537,861079
San Francisco,271879,269574,285382,212516,300261,311961,312793,253734
San Joaquin,241625,252149,270663,296424,310281,324892,286265,299548
San Luis Obispo,91218,92010,96185,105568,112676,110230,91895,91948
San Mateo,203938,199646,205401,212656,212413,215362,186555,190499
Santa Barbara,149216,156889,164030,177014,183547,177522,153745,159563
Santa Clara,473607,496712,515153,551257,539496,544825,519979,455251
Santa Cruz,68629,69260,75119,82246,83724,85435,72742,73795
Shasta,88435,92530,103191,110557,98795,100403,81937,82102
Sierra,0,0,0,0,0,0,0,0
Siskiyou,21474,21895,22779,23742,23849,23110,20168,22377
Solano,177047,183221,196091,210657,215228,216577,195129,195190
Sonoma,150085,153388,159754,173104,177401,177244,146530,158286
Stanislaus,265170,277035,300165,309924,326996,334673,288389,288286
Sutter,0,0,0,0,0,0,,
Tehama,29752,30205,31397,33334,33387,33237,30277,30342
Trinity,4325,4587,4950,5312,4927,4775,4194,4010
Tulare,153380,155434,160335,170215,156092,157262,99887,97875
Tuolumne,26305,27477,33665,32403,32746,33382,30608,30978
Ventura,234600,249308,247449,272215,268383,276659,238421,235648
Yolo,43618,47270,49962,54246,56622,57728,51523,51080
Yuba,49210,53096,54641,57813,66680,70133,61373,74764
Total,12547381,12792539,13514664,14198173,14566810,14928965,12884768,12946134
