County,2012,2013,2014,2015,2016,2017,2018,2019
Alameda,1492668,1541030,1426388,1404505,1392851,1339915,1367290,1354699
Amador,19032,18980,18980,18980,19032,18980,18980,18980
Butte,223992,223380,216360,216080,216672,216080,201845,201845
Calaveras,17568,17520,17520,17520,17568,17520,16830,9125
Colusa,17568,17520,17520,17520,,,17520,17520
Contra Costa,764902,741680,738005,663932,729438,658460,658312,658095
Del Norte,18244,17885,17885,17885,16594,17761,17885,17885
El Dorado,83140,87600,87600,87600,88464,91980,91980,91980
Fresno,1259404,1250083,1278728,1282604,1307352,1303780,1283116,1307440
Glenn,17202,17155,17155,17155,17202,17155,17155,17155
Humboldt,122610,112375,109135,109135,109434,109135,109135,109135
Imperial,99552,98540,97820,97820,98088,97820,97820,97820
Inyo,22692,22630,22630,22630,22692,22630,22630,22630
Kern,653572,653728,653350,697597,680077,694960,672452,691934
Kings,81618,51830,69715,69715,64537,63145,63145,63145
Lake,29646,22630,22630,22630,22692,22630,22630,22630
Lassen,13908,13870,13870,13870,13908,0,13870,9853
Los Angeles,10799186,10834949,10756575,10199218,10188257,10231413,9675816,9708136
Madera,166164,166198,168986,168630,169214,169360,169360,169360
Marin,167628,167170,167170,167170,167628,167170,167170,167170
Mariposa,12444,12410,12410,12410,12444,12410,12410,12410
Mendocino,60390,56881,56210,52287,51715,51830,51830,51830
Merced,90768,90520,90212,89790,90036,88810,88330,88330
Modoc,41358,41245,41245,41245,41358,41245,41245,41245
Mono,6222,6205,6205,6205,6222,6205,6205,6205
Monterey,299754,298823,298570,293220,288840,287255,287829,292001
Napa,623664,621960,636900,650126,649428,648234,648763,648605
Nevada,70638,64427,64240,64240,64416,64240,64240,63906
Orange,3010094,3015504,3002549,2902936,2920873,2899465,2926224,2917549
Placer,278307,276390,275940,273572,273768,273020,268652,267180
Plumas,46421,45990,45990,45990,46116,36865,45990,36865
Riverside,1402512,1386541,1426398,1439925,1433856,1404473,1470326,1484518
Sacramento,1289616,1258413,1285806,1273993,1236414,1265455,1264919,1270437
San Benito,64416,67802,66065,66065,66246,66127,61320,59976
San Bernardino,2145203,2225352,2242200,2156434,2161596,2175780,2185160,2185620
San Diego,2743509,2780995,2731994,2891399,2819251,2885134,2780921,2845648
San Francisco,1761750,1756641,1753923,1645225,1725870,1716960,1665659,1556249
San Joaquin,468522,468295,467986,461320,449814,451931,453695,454675
San Luis Obispo,642696,625771,637655,637865,640594,635830,635274,635100
San Mateo,695766,666490,664662,650065,651846,650065,627800,628084
Santa Barbara,475744,458336,445963,400670,385764,377628,370845,397485
Santa Clara,1392208,1376780,1376881,1367445,1399911,1406989,1484455,1350425
Santa Cruz,158544,144962,136875,136875,137250,136510,136398,135780
Shasta,267606,267180,273020,273020,266448,265720,264628,263228
Sierra,14640,0,0,0,0,0,0,0
Siskiyou,22326,22265,22265,22265,22326,22265,22265,22265
Solano,239730,249949,271913,273385,274134,275422,275575,274845
Sonoma,875795,865362,355488,710290,698671,686200,694881,330116
Stanislaus,603856,602615,558966,559910,565094,578160,569964,576700
Sutter,65148,41282,38690,36548,33672,33580,16790,16790
Tehama,27816,27740,27740,27740,27816,31260,33580,33580
Trinity,18666,18615,18615,18615,18300,18250,18072,17520
Tulare,792756,790590,820830,766110,763476,754446,729246,720510
Tuolumne,55632,55480,55480,55480,55632,55480,54388,55480
Ventura,617808,690670,627265,608875,597102,593972,569389,592395
Yolo,57096,56940,56940,56940,57096,56940,56940,56223
Yuba,63318,63145,63145,63145,63318,63145,80665,80665
Total,37573035,37575319,36875258,36343821,36338413,36277195,35669814,35226977
