Year,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Population,Sum of HOSP_LICBED_DAY_TOTL,Sum of ED_TRAFFIC_TOTL,Sum of EMS_NON_EMERG_VIS,Sum of EMS_REGISTERS_NO_TREAT
2012,Contra Costa,1.6,0.9,40,9,0.09,0.072,20,6.6,44,15,1077548,764902,424431,39703,8354
2012,Fresno,3.2,2.1,56,13,0.12,0.097,57,15.4,76,33,945045,1259404,340267,5355,28992
2012,Humboldt,1,0.7,19,3,0.05,0.046,17,6.8,44,16,134572,122610,57618,89,1115
2012,Imperial,6.1,4.5,66,14,0.1,0.084,40,14.2,321,64,176575,99552,92457,40788,187
2012,Kern,1.2,0.7,56,15,0.11,0.091,56,14.7,88,41,853606,653572,323848,5273,10692
2012,Los Angeles,4.8,3.9,63,21,0.13,0.102,32,12.7,74,31,9935375,10799186,3148689,253781,95054
2012,Marin,2,1,44,11,0.07,0.049,19,8,32,12,256061,167628,75258,0,658
2012,Monterey,1.5,1.3,35,5,0.07,0.057,14,6,80,24,424788,299754,146889,3650,2070
2012,Orange,3.1,2.3,54,18,0.1,0.071,25,10.8,66,26,3078068,3010094,849201,5885,18117
2012,Plumas,2.2,1.6,41,15,0.12,0.099,36,15.1,334,60,19377,46421,10423,2798,123
2012,Riverside,2.6,2.1,51,12,0.12,0.097,35,9.2,58,24,2261204,1402512,721628,4031,17862
2012,San Benito,2,1.6,96,22,0.14,0.106,36,12.8,75,35,56599,64416,15998,0,260
2012,San Bernardino,4,2.1,72,20,0.1,0.08,24,11.1,48,24,2073512,2145203,762085,9925,17044
2012,San Diego,1.8,1.1,66,13,0.06,0.047,22,8.2,46,16,3174335,2743509,916246,129387,10031
2012,San Francisco,2.5,1.5,52,14,0.11,0.085,34,12.4,125,25,828876,1761750,271879,1385,13909
2012,San Mateo,1.9,1,43,10,0.08,0.07,17,8.5,50,20,739224,695766,203938,551,2288
2012,Santa Barbara,2.4,1.9,52,13,0.09,0.07,32,9,46,18,429699,475744,149216,10437,1936
2012,Siskiyou,2.6,2.1,41,9,0.09,0.07,21,9,25,11,44079,22326,21474,8563,419
2012,Solano,2,1.3,36,9,0.07,0.058,19,8.2,30,12,419674,239730,177047,27253,2472
2013,Butte,2,1.4,40,8,0.09,0.073,30,10.1,51,24,221641,223380,112744,212,4475
2013,Contra Costa,1.7,1,41,10,0.08,0.065,27,12,42,17,1093401,741680,394217,22776,7208
2013,Fresno,3.3,2.2,61,14,0.12,0.095,66,17.1,107,45,951514,1250083,289443,443,9572
2013,Humboldt,1.3,0.8,26,3,0.05,0.046,23,6.7,51,19,134403,112375,62286,308,1776
2013,Imperial,5.2,3.9,62,13,0.11,0.08,27,13.3,289,52,176438,98540,93802,43827,236
2013,Kern,1.7,1.1,56,14,0.11,0.087,97,22.8,111,51,862000,653728,336202,13931,7268
2013,Los Angeles,5.6,3.4,71,23,0.13,0.094,30,12.6,63,33,9992484,10834949,3266123,202288,90886
2013,Marin,2.1,0.9,47,12,0.07,0.057,27,10.8,32,15,258409,167170,74578,0,624
2013,Monterey,1.7,0.8,36,5,0.07,0.059,16,6.7,75,27,426712,298823,152728,3460,2579
2013,Napa,2.8,1.5,40,9,0.08,0.055,28,11.7,36,18,139580,621960,38578,0,16
2013,Orange,4.1,2.4,53,17,0.1,0.074,23,10.1,82,28,3104950,3015504,866795,17717,18551
2013,Riverside,2.5,1.6,51,16,0.12,0.1,42,14.1,188,55,2286755,1386541,718686,6522,20845
2013,Sacramento,2.8,2.4,45,10,0.11,0.079,49,12.6,48,23,1457341,1258413,520724,9711,11106
2013,San Bernardino,3.3,1.6,61,21,0.15,0.104,35,12.3,155,41,2082738,2225352,834287,21752,47643
2013,San Diego,24.1,6.7,75,19,0.09,0.078,25,10.6,49,25,3209768,2780995,933637,113321,12868
2013,San Francisco,1.8,1.3,60,14,0.06,0.043,28,10.1,40,17,839572,1756641,269574,0,4072
2013,San Joaquin,2.5,1.7,57,16,0.09,0.073,56,17.9,122,32,702046,468295,252149,2079,6160
2013,Santa Barbara,2.4,1,37,10,0.08,0.065,16,8.9,55,21,434601,458336,156889,28064,2378
2013,Santa Clara,2.7,2.1,52,15,0.09,0.067,35,12.4,53,21,1866425,1376780,496712,31787,10045
2013,Solano,2.6,2,43,10,0.08,0.064,37,11.3,30,13,423659,249949,183221,26905,2970
2013,Sonoma,1.7,1.2,37,9,0.07,0.055,23,8.5,30,13,494073,865362,153388,112,2666
2013,Stanislaus,2.6,2.1,46,11,0.09,0.08,61,15,77,35,523451,602615,277035,15454,7315
2014,Contra Costa,1.7,1,39,9,0.09,0.072,23,10.5,34,16,1108876,738005,400103,19604,6878
2014,Fresno,2.8,2,57,12,0.12,0.097,71,16.4,118,41,960567,1278728,347756,1319,8990
2014,Humboldt,1.4,0.9,24,2,0.05,0.043,8,3.1,64,17,134494,109135,60472,181,4127
2014,Imperial,5,3.8,47,12,0.1,0.078,47,17.6,375,62,177974,97820,96161,46359,353
2014,Kern,1.9,1.1,55,13,0.11,0.089,80,18.6,104,24,869176,653350,351223,134,11273
2014,Marin,1.6,1,50,11,0.08,0.064,20,10.8,37,13,260359,167170,76850,0,655
2014,Monterey,1.3,1,32,5,0.08,0.063,12,6.5,66,25,428475,298570,159774,14261,4093
2014,Napa,2,1.4,41,8,0.07,0.062,23,12,36,15,140405,636900,38066,1,43
2014,Riverside,2.5,1.6,53,16,0.12,0.098,29,10.7,243,57,2316162,1426398,791924,22560,21401
2014,Sacramento,2.3,1.9,55,11,0.1,0.081,28,8.8,83,20,1474917,1285806,574479,9901,9627
2014,San Diego,3.5,1.9,61,13,0.09,0.08,25,10.2,53,30,3248877,2731994,971604,27266,15737
2014,San Francisco,1.6,1.1,58,12,0.07,0.052,20,7.7,28,16,850750,1753923,285382,3074,9971
2014,San Joaquin,2.7,1.7,54,13,0.09,0.08,45,12.1,101,29,711579,467986,270663,2896,9603
2014,Santa Barbara,2.5,1,42,8,0.11,0.076,17,8.9,91,24,439045,445963,164030,16648,2709
2014,Santa Clara,2.4,1.9,55,13,0.09,0.073,28,9.3,52,19,1891753,1376881,515153,52882,5762
2014,Solano,2.4,2,43,8,0.08,0.066,28,10,25,11,429006,271913,196091,33078,3499
2014,Sonoma,1.3,0.9,31,4,0.07,0.062,17,7.7,40,13,498560,355488,159754,88,3960
2015,Butte,1.5,1.2,33,7,0.08,0.075,30,9.1,67,21,224631,216080,129556,183,5507
2015,Contra Costa,2,1,37,9,0.09,0.074,30,8.9,35,18,1124405,663932,407244,21785,6982
2015,Fresno,2.3,1.7,43,11,0.12,0.093,57,16,103,39,969488,1282604,390044,0,11007
2015,Imperial,4.9,3.9,60,11,0.1,0.077,37,13.1,225,47,178937,97820,98488,46212,351
2015,Kern,1.6,1,50,12,0.12,0.097,57,17.9,97,44,876031,697597,363557,142,15236
2015,Los Angeles,4.3,3,66,22,0.13,0.1,42,12.6,95,37,10085416,10199218,3608278,102770,112769
2015,Marin,1.4,0.9,40,11,0.08,0.063,31,8.6,29,15,260916,167170,80108,0,193
2015,Monterey,1.5,0.9,28,5,0.08,0.062,13,6.3,68,24,430552,293220,170444,15001,4979
2015,Napa,2.3,1.5,33,8,0.08,0.066,30,10.6,45,18,140862,650126,38539,9,1163
2015,Orange,2.9,2.3,61,25,0.1,0.075,15,7.1,64,26,3149280,2902936,942061,54450,24286
2015,Riverside,2.2,1.5,52,14,0.12,0.097,43,13.5,299,65,2345816,1439925,852607,11017,21388
